Team ID, Name, Goal Difference, Average Shot, Average Goal, Average fouls commited, Average successful defense, played Game, point,
9,Liverpool,45,4.631578947368421,2.28,8.34,2.17,38,158.9,
10,Man City,37,4.973684210526316,2.43,10.11,2.11,38,139.05,
8,Leicester,30,4.026315789473684,2.0,10.62,2.83,38,110.45,
11,Man United,14,4.368421052631579,1.52,11.03,2.48,38,85.84,
16,Tottenham,7,3.4210526315789473,1.62,10.21,3.69,38,74.04,
5,Chelsea,12,4.447368421052632,1.76,10.03,1.69,38,68.87,
0,Arsenal,4,2.8684210526315788,1.43,11.0,3.71,38,60.39,
19,Wolves,7,3.026315789473684,1.41,10.9,2.59,38,55.56,
14,Sheffield United,5,2.4473684210526314,1.07,10.82,2.54,38,40.74,
4,Burnley,-6,2.736842105263158,1.17,11.14,3.0,38,34.87,
7,Everton,-9,3.5526315789473686,1.28,11.93,2.55,38,29.04,
6,Crystal Palace,-6,2.473684210526316,0.9,10.93,3.45,38,27.99,
15,Southampton,-17,3.4473684210526314,1.21,12.24,3.03,38,26.57,
18,West Ham,-15,3.3684210526315788,1.21,10.34,3.52,38,24.46,
12,Newcastle,-16,2.5,0.86,9.52,4.14,38,23.5,
3,Brighton,-8,3.1578947368421053,1.1,9.93,3.1,38,18.57,
1,Aston Villa,-22,3.0526315789473686,1.21,11.68,3.61,38,15.89,
2,Bournemouth,-18,2.5526315789473686,1.0,9.28,3.62,38,3.69,
17,Watford,-17,2.3947368421052633,0.93,12.17,3.1,38,1.68,
13,Norwich,-27,3.026315789473684,0.86,9.62,3.55,38,-6.62,
